frame_id,point_id,x0,y0,x1,y1,dx,dy,magnitude,angle
17,2,2736.0,661.0,2736.0,661.0,0.0,0.0,0.0,0.0
18,0,2770.0,717.0,2769.141,718.394,-0.8588867,1.3939819,1.6373368702960645,2.1229982
18,1,2731.0,732.0,2730.1365,733.4899,-0.8635254,1.4899292,1.72208162377359,2.096062
18,2,2736.0,661.0,2732.1528,664.4801,-3.847168,3.4801025,5.187659883046041,2.4062483
19,0,2740.0,737.0,2740.0188,737.0112,0.018798828,0.011230469,0.021897930660635893,0.53850746
19,1,2780.0,740.0,2780.0,740.0,0.0,0.0,0.0,0.0
19,2,2786.0,698.0,2786.0,698.0,0.0,0.0,0.0,0.0
19,3,2733.0,664.0,2733.0,664.0,0.0,0.0,0.0,0.0
20,0,2741.0,738.0,2740.892,739.03503,-0.107910156,1.0350342,1.0406442018976878,1.6746786
20,1,2784.0,736.0,2784.574,736.997,0.5739746,0.9970093,1.1504235530084954,1.0484389
20,2,2725.0,680.0,2720.652,683.7791,-4.3479004,3.7791138,5.760723799129561,2.4260678
20,3,2784.0,696.0,2782.9307,697.2313,-1.0693359,1.2313232,1.630839131852109,2.2859013
21,0,2740.0,738.0,2740.0,738.0,0.0,0.0,0.0,0.0
21,1,2780.0,740.0,2780.0,740.0,0.0,0.0,0.0,0.0
21,2,2757.0,697.0,2757.0,697.0,0.0,0.0,0.0,0.0
21,3,2727.0,669.0,2727.0,669.0,0.0,0.0,0.0,0.0
22,0,2740.0,738.0,2740.3975,738.82043,0.39746094,0.8204346,0.9116403243616615,1.1196645
22,1,2772.0,702.0,2771.676,702.83655,-0.3239746,0.83654785,0.8970907732629505,1.9402856
22,2,2721.0,684.0,2716.6438,687.2556,-4.356201,3.2556152,5.438337908234437,2.4997885
23,0,2740.0,739.0,2740.0,739.0,0.0,0.0,0.0,0.0
23,1,2700.0,744.0,2700.0,744.0,0.0,0.0,0.0,0.0
23,2,2757.0,698.0,2756.9766,697.9972,-0.0234375,-0.0028076172,0.023605065569100744,-3.0223691
23,3,2716.0,688.0,2715.9983,688.02185,-0.0017089844,0.021850586,0.021917315834884227,1.6488497
24,0,2740.0,739.0,2740.8577,739.38226,0.857666,0.38226318,0.9389974099481275,0.4192737
24,1,2697.0,749.0,2697.42,749.7672,0.41992188,0.7672119,0.8746133443887993,1.0700015
24,2,2757.0,698.0,2757.0405,698.60675,0.040527344,0.6067505,0.6081024754274282,1.5041013
24,3,2716.0,688.0,2711.5557,690.73175,-4.444336,2.7317505,5.216759785113634,2.5904644
25,0,2760.0,718.0,2760.0,718.0,0.0,0.0,0.0,0.0
25,1,2705.0,746.0,2705.0,746.0,0.0,0.0,0.0,0.0
25,2,2712.0,691.0,2712.0,691.0,0.0,0.0,0.0,0.0
26,0,2760.0,718.0,2761.1792,718.3067,1.1791992,0.30670166,1.2184320686206558,0.25445533
26,1,2705.0,746.0,2705.974,746.27106,0.9741211,0.27105713,1.0111299977844568,0.27139276
26,2,2712.0,691.0,2707.666,693.2613,-4.3339844,2.2612915,4.888441451872236,2.6606905
27,0,2745.0,750.0,2744.9573,750.0278,-0.04272461,0.027770996,0.050957045344931604,2.5652175
27,1,2759.0,707.0,2759.0,707.0,0.0,0.0,0.0,0.0
27,2,2703.0,745.0,2703.0,745.0,0.0,0.0,0.0,0.0
27,3,2707.0,693.0,2707.0,693.0,0.0,0.0,0.0,0.0
28,0,2745.0,750.0,2747.4143,749.86334,2.4143066,-0.13665771,2.418171186246393,-0.056542963
28,1,2759.0,707.0,2760.2607,706.8453,1.2607422,-0.15472412,1.2702009356753436,-0.12211401
28,2,2703.0,745.0,2704.4321,745.061,1.4321289,0.06097412,1.433426331403179,0.04255016
28,3,2707.0,693.0,2702.908,694.7938,-4.092041,1.7938232,4.467952718837718,2.7284532
29,0,2734.0,736.0,2734.0525,736.0056,0.052490234,0.0056152344,0.0527897297002799,0.10657144
29,1,2765.0,710.0,2765.0024,709.99316,0.0024414062,-0.0068359375,0.007258822630526614,-1.2277724
29,2,2695.0,749.0,2694.9717,748.9908,-0.028320312,-0.009216309,0.02978221691199106,-2.826971
29,3,2713.0,679.0,2713.019,679.0871,0.019042969,0.08709717,0.08915464837567431,1.3555431
30,0,2734.0,736.0,2736.426,735.6081,2.4260254,-0.39190674,2.457476365596917,-0.16015911
30,1,2763.0,705.0,2764.9807,704.7423,1.9807129,-0.25769043,1.9974052950366812,-0.12937318
30,2,2691.0,739.0,2692.435,738.60065,1.4350586,-0.39935303,1.489589207783255,-0.27141622
30,3,2714.0,680.0,2711.2388,680.27783,-2.7612305,0.27783203,2.7751728485162586,3.0413113
31,0,2737.0,736.0,2737.0234,736.005,0.0234375,0.005004883,0.023965918680844637,0.21038184
31,1,2700.0,752.0,2699.9565,751.98114,-0.04345703,-0.018859863,0.047373072605130004,-2.7321332
31,2,2761.0,697.0,2760.9966,696.9999,-0.0034179688,-0.00012207031,0.0034201478823539795,-3.1058936
31,3,2710.0,679.0,2709.972,678.79974,-0.028076172,-0.20025635,0.2022149257690327,-1.7100896
32,0,2737.0,736.0,2735.8325,737.10034,-1.1674805,1.1003418,1.6042950834752387,2.3857908
32,1,2700.0,752.0,2702.4573,751.207,2.4572754,-0.7930298,2.5820725368424906,-0.31217492
32,2,2757.0,699.0,2759.112,698.3015,2.1120605,-0.6984863,2.2245635311771768,-0.3193906
32,3,2711.0,679.0,2708.7322,678.9094,-2.2678223,-0.09057617,2.2696303380453915,-3.101674
33,0,2736.0,723.0,2736.0,723.0,0.0,0.0,0.0,0.0
33,1,2705.0,749.0,2705.0,749.0,0.0,0.0,0.0,0.0
33,2,2709.0,681.0,2709.0,681.0,0.0,0.0,0.0,0.0
34,0,2736.0,723.0,2735.1333,724.5729,-0.8666992,1.572876,1.7958581161743536,2.0744288
34,1,2705.0,749.0,2704.0847,747.7323,-0.9152832,-1.2677002,1.563587901947988,-2.1961372
34,2,2709.0,681.0,2706.9978,680.2396,-2.0021973,-0.760376,2.1417202236075568,-2.778646
35,0,2740.0,722.0,2740.0,722.0,0.0,0.0,0.0,0.0
35,1,2706.0,753.0,2706.0,753.0,0.0,0.0,0.0,0.0
35,2,2685.0,698.0,2685.0,698.0,0.0,0.0,0.0,0.0
36,0,2740.0,722.0,2740.0266,723.34064,0.026611328,1.3406372,1.340901295271627,1.5509492
36,1,2706.0,753.0,2703.7678,753.7123,-2.2321777,0.7122803,2.3430665005005102,2.8327093
36,2,2685.0,698.0,2683.62,699.1524,-1.3798828,1.1524048,1.7978079333132149,2.445785
37,0,2744.0,720.0,2743.9875,720.0275,-0.012451172,0.027526855,0.030211909126340274,1.9955846
37,1,2709.0,754.0,2709.0,754.0,0.0,0.0,0.0,0.0
37,2,2712.0,693.0,2712.0,693.0,0.0,0.0,0.0,0.0
38,0,2713.0,744.0,2711.6733,743.86334,-1.3266602,-0.13665771,1.3336800595373652,-3.038946
38,1,2746.0,721.0,2746.3328,721.85724,0.33276367,0.85723877,0.919559660548017,1.2005202
38,2,2705.0,679.0,2703.4868,678.04956,-1.5131836,-0.95043945,1.7869134680925973,-2.580763
39,0,2694.0,723.0,2694.0,723.0,0.0,0.0,0.0,0.0
39,1,2748.0,718.0,2748.0,718.0,0.0,0.0,0.0,0.0
39,2,2711.0,685.0,2711.0,685.0,0.0,0.0,0.0,0.0
39,3,2728.0,753.0,2728.0,753.0,0.0,0.0,0.0,0.0
40,0,2711.0,758.0,2709.5715,757.63354,-1.4284668,-0.36645508,1.4747225888477882,-2.8904707
40,1,2750.0,719.0,2750.904,719.86865,0.90405273,0.86865234,1.2537416962170806,0.7654311
40,2,2711.0,685.0,2709.9998,684.1095,-1.0002441,-0.8905029,1.3392101435684638,-2.4141707
41,0,2699.0,722.0,2699.0,722.0,0.0,0.0,0.0,0.0
41,1,2737.0,737.0,2737.0,737.0,0.0,0.0,0.0,0.0
41,2,2699.0,681.0,2699.0,681.0,0.0,0.0,0.0,0.0
42,0,2699.0,722.0,2701.9038,720.6078,2.9038086,-1.3922119,3.2203040792437476,-0.44706753
42,1,2737.0,737.0,2733.8005,737.6258,-3.199463,0.62579346,3.2600889925506027,2.948438
43,0,2702.0,721.0,2702.0,721.0,0.0,0.0,0.0,0.0
43,1,2740.0,708.0,2740.0,708.0,0.0,0.0,0.0,0.0
43,2,2720.0,757.0,2720.0,757.0,0.0,0.0,0.0,0.0
44,0,2702.0,721.0,2704.7466,719.63257,2.746582,-1.3674316,3.0681561476182653,-0.46193948
44,1,2740.0,708.0,2743.8884,706.6961,3.8884277,-1.303894,4.101220540369182,-0.3235436
44,2,2720.0,757.0,2718.3992,756.47375,-1.6008301,-0.5262451,1.6851085610112422,-2.8239884
45,0,2694.0,729.0,2694.0,729.0,0.0,0.0,0.0,0.0
45,1,2739.0,734.0,2739.0,734.0,0.0,0.0,0.0,0.0
45,2,2709.0,687.0,2709.0,687.0,0.0,0.0,0.0,0.0
46,0,2694.0,729.0,2695.4292,728.64,1.4291992,-0.35998535,1.4738384783330862,-0.2467464
46,1,2739.0,734.0,2743.7258,732.56934,4.72583,-1.4306641,4.937638057516969,-0.29396212
46,2,2709.0,687.0,2708.694,685.32404,-0.3059082,-1.6759644,1.7036538232695482,-1.7513356
46,3,2668.0,693.0,2665.8496,691.5178,-2.1503906,-1.4821777,2.6117102971740374,-2.5381114
47,0,2709.0,686.0,2709.0,686.0,0.0,0.0,0.0,0.0
47,1,2693.0,728.0,2693.0,728.0,0.0,0.0,0.0,0.0
47,2,2742.0,732.0,2742.0,732.0,0.0,0.0,0.0,0.0
47,3,2666.0,693.0,2666.0,693.0,0.0,0.0,0.0,0.0
48,0,2709.0,686.0,2708.8887,684.29724,-0.111328125,-1.7027588,1.7063942818544626,-1.6360844
48,1,2693.0,728.0,2694.0916,727.6274,1.0915527,-0.37261963,1.1534005201003557,-0.32896298
48,2,2734.0,743.0,2732.2617,743.8509,-1.7382812,0.8508911,1.935364924442563,2.6863792
48,3,2666.0,693.0,2663.3975,691.8338,-2.602539,-1.1661987,2.8518816684402077,-2.7203195
49,0,2709.0,684.0,2709.0,684.0,0.0,0.0,0.0,0.0
49,1,2691.0,725.0,2691.0,725.0,0.0,0.0,0.0,0.0
49,2,2737.0,748.0,2737.0,748.0,0.0,0.0,0.0,0.0
49,3,2664.0,691.0,2664.0,691.0,0.0,0.0,0.0,0.0
50,0,2709.0,684.0,2709.3638,681.9425,0.36376953,-2.057495,2.0894052812023447,-1.3958026
50,1,2691.0,725.0,2690.3674,722.97797,-0.63256836,-2.0220337,2.118670096656005,-1.8739889
50,2,2737.0,748.0,2736.1877,747.1041,-0.81225586,-0.895874,1.2092765800093517,-2.3072805
50,3,2664.0,691.0,2662.003,689.32886,-1.9970703,-1.6711426,2.6040367411945478,-2.4448137
51,0,2709.0,682.0,2709.0,682.0,0.0,0.0,0.0,0.0
51,1,2690.0,723.0,2690.0,723.0,0.0,0.0,0.0,0.0
51,2,2735.0,749.0,2735.0,749.0,0.0,0.0,0.0,0.0
51,3,2663.0,689.0,2663.0,689.0,0.0,0.0,0.0,0.0
52,0,2709.0,682.0,2709.11,679.97784,0.11010742,-2.0221558,2.025151245957767,-1.5163995
52,1,2690.0,723.0,2689.5276,721.12213,-0.4724121,-1.8778687,1.936379063236191,-1.8172505
52,2,2735.0,749.0,2738.2375,746.9835,3.2375488,-2.0164795,3.814172512735406,-0.5570456
52,3,2662.0,689.0,2659.6724,687.5238,-2.3276367,-1.4761963,2.756274329292199,-2.5764022
53,0,2709.0,680.0,2709.0,680.0,0.0,0.0,0.0,0.0
53,1,2690.0,722.0,2690.0,722.0,0.0,0.0,0.0,0.0
53,2,2719.0,754.0,2719.0,754.0,0.0,0.0,0.0,0.0
53,3,2661.0,686.0,2661.0127,685.99567,0.0126953125,-0.004333496,0.013414549857047115,-0.32894468
53,4,2738.0,714.0,2738.0,714.0,0.0,0.0,0.0,0.0
54,0,2709.0,680.0,2709.033,677.7997,0.032958984,-2.2003174,2.2005642185034913,-1.5558182
54,1,2690.0,722.0,2689.1814,719.7223,-0.8186035,-2.27771,2.420345921959817,-1.9158186
54,2,2719.0,754.0,2717.6118,753.46533,-1.3881836,-0.53466797,1.487589838216138,-2.7739475
54,3,2663.0,687.0,2661.2073,684.75256,-1.7927246,-2.2474365,2.8748621622504933,-2.2441182
54,4,2736.0,713.0,2728.7175,711.816,-7.2824707,-1.184021,7.378094961510374,-2.980418
55,0,2709.0,678.0,2709.0,678.0,0.0,0.0,0.0,0.0
55,1,2689.0,720.0,2689.0,720.0,0.0,0.0,0.0,0.0
55,2,2733.0,718.0,2733.0,718.0,0.0,0.0,0.0,0.0
55,3,2662.0,684.0,2661.9521,684.0589,-0.047851562,0.058898926,0.07588712336013669,2.253074
56,0,2709.0,678.0,2708.6643,675.64276,-0.33569336,-2.3572388,2.381021765568235,-1.7122548
56,1,2689.0,720.0,2687.715,717.81714,-1.2849121,-2.1828613,2.5329592785203143,-2.1028185
56,2,2733.0,718.0,2732.2222,716.4465,-0.77783203,-1.5535278,1.7373748569995529,-2.034994
56,3,2662.0,684.0,2659.3984,682.0349,-2.6015625,-1.9650879,3.2603217416824464,-2.4946768
57,0,2709.0,675.0,2709.0,675.0,0.0,0.0,0.0,0.0
57,1,2702.0,738.0,2702.0,738.0,0.0,0.0,0.0,0.0
57,2,2672.0,699.0,2672.0,699.0,0.0,0.0,0.0,0.0
58,0,2709.0,675.0,2708.2373,673.2293,-0.7626953,-1.7706909,1.9279653696802979,-1.977513
58,1,2702.0,738.0,2704.7922,735.8185,2.7922363,-2.1815186,3.5433891850242505,-0.66322166
58,2,2672.0,699.0,2670.082,697.10736,-1.9179688,-1.8926392,2.6945662204765943,-2.3628416
59,0,2707.0,673.0,2706.9663,673.1149,-0.033691406,0.1149292,0.11976573670364019,1.8559562
59,1,2704.0,736.0,2703.9993,735.92365,-0.0007324219,-0.07635498,0.07635849320269601,-1.5803883
59,2,2671.0,697.0,2671.0203,696.85315,0.020263672,-0.14685059,0.14824206888749475,-1.4336739
60,0,2708.0,673.0,2706.6614,671.53,-1.338623,-1.4699707,1.988146254597663,-2.3094623
60,1,2704.0,735.0,2706.89,733.2454,2.8898926,-1.7545776,3.3808315243998055,-0.5456551
60,2,2671.0,696.0,2668.684,694.34393,-2.315918,-1.6560669,2.8471096918000023,-2.5208173
61,0,2706.0,672.0,2706.0,672.0,0.0,0.0,0.0,0.0
61,1,2707.0,734.0,2707.0,734.0,0.0,0.0,0.0,0.0
61,2,2670.0,694.0,2670.0,694.0,0.0,0.0,0.0,0.0
62,0,2706.0,672.0,2703.9346,671.13354,-2.0654297,-0.8664551,2.2398089642679233,-2.7443867
62,1,2707.0,734.0,2709.4507,732.69324,2.4506836,-1.3067627,2.7773150376822224,-0.489872
62,2,2670.0,694.0,2667.3486,693.2919,-2.6513672,-0.7081299,2.7443024421305506,-2.8806036
63,0,2708.0,734.0,2707.9724,733.9944,-0.02758789,-0.0056152344,0.02815355334985523,-2.9407957
63,1,2704.0,671.0,2703.9307,670.9551,-0.06933594,-0.044921875,0.08261626403148191,-2.566704
